timestamp,frontend_adservice&p50,checkoutservice_cartservice&p50,frontend_cartservice&p50,frontend_checkoutservice&p50,checkoutservice_currencyservice&p50,frontend_currencyservice&p50,checkoutservice_emailservice&p50,istio-ingressgateway_frontend&p50,unknown_frontend&p50,checkoutservice_paymentservice&p50,checkoutservice_productcatalogservice&p50,frontend_productcatalogservice&p50,recommendationservice_productcatalogservice&p50,frontend_recommendationservice&p50,checkoutservice_shippingservice&p50,frontend_shippingservice&p50,frontend_adservice&p90,checkoutservice_cartservice&p90,frontend_cartservice&p90,frontend_checkoutservice&p90,checkoutservice_currencyservice&p90,frontend_currencyservice&p90,checkoutservice_emailservice&p90,istio-ingressgateway_frontend&p90,unknown_frontend&p90,checkoutservice_paymentservice&p90,checkoutservice_productcatalogservice&p90,frontend_productcatalogservice&p90,recommendationservice_productcatalogservice&p90,frontend_recommendationservice&p90,checkoutservice_shippingservice&p90,frontend_shippingservice&p90,frontend_adservice&p99,checkoutservice_cartservice&p99,frontend_cartservice&p99,frontend_checkoutservice&p99,checkoutservice_currencyservice&p99,frontend_currencyservice&p99,checkoutservice_emailservice&p99,istio-ingressgateway_frontend&p99,unknown_frontend&p99,checkoutservice_paymentservice&p99,checkoutservice_productcatalogservice&p99,frontend_productcatalogservice&p99,recommendationservice_productcatalogservice&p99,frontend_recommendationservice&p99,checkoutservice_shippingservice&p99,frontend_shippingservice&p99
2023-09-25 02:09:09,3.0,,17.5,,,2.0,,175.0,,,,0.4642857142857143,0.375,20000.0,,3.0,4.6,,23.5,,,4.4,,235.0,,,,4.133333333333333,3.8000000000000007,28000.0,,4.6,4.960000000000001,,24.85,,,4.9399999999999995,,248.50000000000003,,,,4.913333333333333,4.88,29800.000000000004,,4.960000000000001
2023-09-25 02:09:14,3.0,,17.5,,,2.0,,212.5,,,,0.4642857142857143,0.375,5.0,,3.0,4.6,,23.5,,,4.4,,24000.000000000004,,,,4.133333333333333,3.8000000000000007,26000.0,,4.6,4.960000000000001,,24.85,,,4.9399999999999995,,29400.0,,,,4.913333333333333,4.88,29600.000000000004,,4.960000000000001
2023-09-25 02:09:19,3.0,,17.5,,,3.0,,212.5,,3.0,,0.39999999999999997,0.3333333333333333,5.0,,3.0,4.6,,23.5,,,4.6,,24000.000000000004,,4.6,,3.9333333333333327,3.3999999999999995,45.0,,4.6,4.960000000000001,,24.85,,,4.960000000000001,,29400.0,,4.960000000000001,,4.893333333333334,4.840000000000001,49.5,,4.960000000000001
2023-09-25 02:09:24,0.4642857142857143,7.5,11.323529411764707,,,3.0,3.0,212.5,,3.0,,1.8571428571428572,1.9411764705882355,5.0,3.0,2.333333333333333,4.133333333333333,9.5,22.97058823529412,,,4.6,4.6,24000.000000000004,,4.6,,4.371428571428572,4.3882352941176475,45.0,4.6,4.466666666666667,4.913333333333333,9.95,41.749999999999936,,,4.960000000000001,4.960000000000001,29400.0,,4.960000000000001,,4.937142857142858,4.938823529411765,49.5,4.960000000000001,4.946666666666667
2023-09-25 02:09:29,1.9473684210526314,7.5,11.323529411764707,,,3.0,3.0,130.4054054054054,,3.0,,1.8571428571428572,1.9411764705882355,25.0,3.0,1.7999999999999998,4.389473684210526,9.5,22.97058823529412,,,4.6,4.6,226.0810810810811,,4.6,,4.371428571428572,4.3882352941176475,45.0,4.6,4.359999999999999,4.9389473684210525,9.95,41.749999999999936,,,4.960000000000001,4.960000000000001,247.6081081081081,,4.960000000000001,,4.937142857142858,4.938823529411765,49.5,4.960000000000001,4.936
2023-09-25 02:09:34,1.9473684210526314,15.999999999999998,15.328947368421051,175.0,2.0,0.4538216560509554,3.0,130.4054054054054,,5.0,,0.41489361702127664,1.117647058823529,10.0,3.0,1.7999999999999998,4.389473684210526,23.2,24.32894736842105,24000.000000000004,4.4,4.184000000000001,4.6,226.0810810810811,,9.0,,3.993548387096774,4.223529411764706,400.0000000000007,4.6,4.359999999999999,4.9389473684210525,24.82,46.437500000000014,29400.0,4.9399999999999995,12.24999999999956,4.960000000000001,247.6081081081081,,9.9,,4.899354838709677,4.922352941176472,19200.000000000022,4.960000000000001,4.936
2023-09-25 02:09:39,0.48749999999999993,11.5,15.892857142857142,175.0,2.0,0.4538216560509554,3.0,130.4054054054054,,5.0,,0.4426829268292683,1.4242424242424239,10.0,2.7142857142857144,2.333333333333333,4.178947368421053,22.300000000000004,32.25,24000.000000000004,4.4,4.184000000000001,4.6,226.0810810810811,,9.0,,4.0810126582278485,4.284848484848485,400.0000000000007,4.542857142857143,4.466666666666667,4.917894736842106,24.73,48.224999999999994,29400.0,4.9399999999999995,12.24999999999956,4.96,247.6081081081081,,9.9,,4.9081012658227845,4.928484848484848,19200.000000000022,4.954285714285715,4.946666666666667
2023-09-25 02:09:44,1.7333333333333334,11.5,15.892857142857142,175.0,2.0,0.4538216560509554,3.0,157.3529411764706,,3.0000000000000004,,0.4426829268292683,1.4242424242424239,9.666666666666668,2.25,2.454545454545454,4.346666666666667,22.300000000000004,32.25,24000.000000000004,4.4,4.184000000000001,4.6,6214.285714285704,,7.500000000000002,,4.0810126582278485,4.284848484848485,300.00000000000136,4.449999999999999,4.490909090909091,4.934666666666667,24.73,48.224999999999994,29400.0,4.9399999999999995,12.24999999999956,4.96,25349.999999999964,,9.749999999999998,,4.9081012658227845,4.928484848484848,18399.999999999978,4.944999999999999,4.949090909090909
2023-09-25 02:09:49,1.7333333333333334,5.0,15.869565217391305,6250.0,2.5,0.38922155688622756,3.0,157.3529411764706,,2.0,,0.4492385786802031,1.588235294117647,9.500000000000002,2.25,2.454545454545454,4.346666666666667,22.0,29.444444444444468,20000.0,4.5,3.8817204301075274,4.6,6214.285714285704,,4.4,,4.0980891719745225,4.317647058823529,48.875,4.449999999999999,4.490909090909091,4.934666666666667,24.700000000000003,47.94444444444445,28999.999999999993,4.949999999999999,4.888172043010753,4.96,25349.999999999964,,4.9399999999999995,,4.909808917197452,4.931764705882353,18199.999999999927,4.944999999999999,4.949090909090909
2023-09-25 02:09:54,1.7058823529411766,3.7500000000000004,13.833333333333332,6250.0,2.5,0.38922155688622756,2.666666666666667,157.3529411764706,,2.0,0.5,0.45574162679425834,0.48437500000000006,9.500000000000002,1.9999999999999998,1.2222222222222214,4.341176470588236,20.125,24.1,20000.0,4.5,3.8817204301075274,4.533333333333333,6214.285714285704,,4.4,4.199999999999999,4.113953488372093,4.173333333333334,48.875,4.4,4.2444444444444445,4.934117647058825,24.512499999999996,46.15000000000002,28999.999999999993,4.949999999999999,4.888172043010753,4.953333333333333,25349.999999999964,,4.9399999999999995,4.92,4.911395348837209,4.917333333333334,18199.999999999927,4.9399999999999995,4.924444444444443
